,nodes count,HW Availability class,HW Availability,SW Availability class,failure function,Overall availability
4872,110,4,1.9609721485175227,6,square_root_n,1.9605605558321082
4873,110,4,1.9609721485175227,6,n_squared,1.9609717915843459
4874,110,4,1.9609721485175227,6,n_log_n,1.9609529156900856
4875,110,5,2.958843984625745,4,identity,1.9198196433910446
4876,110,5,2.958843984625745,4,n,2.9210737144124863
4877,110,5,2.958843984625745,4,square_root_n,2.6682474637295934
4878,110,5,2.958843984625745,4,n_squared,2.9584853751197078
4879,110,5,2.958843984625745,4,n_log_n,2.9399307514531636
4880,110,5,2.958843984625745,5,identity,2.6580527864334242
4881,110,5,2.958843984625745,5,n,2.954915842705747
4882,110,5,2.958843984625745,5,square_root_n,2.9193151547833396
4883,110,5,2.958843984625745,5,n_squared,2.9588081135643356
4884,110,5,2.958843984625745,5,n_log_n,2.95691529394542
4885,110,5,2.958843984625745,6,identity,2.917475358742911
4886,110,5,2.958843984625745,6,n,2.9584495694981543
4887,110,5,2.958843984625745,6,square_root_n,2.9547250589235845
4888,110,5,2.958843984625745,6,n_squared,2.958840397415022
4889,110,5,2.958843984625745,6,n_log_n,2.9586507309740777
4890,110,6,3.9586309836715983,4,identity,1.9566748297822794
4891,110,6,3.9586309836715983,4,n,3.6778056055339983
4892,110,6,3.9586309836715983,4,square_root_n,2.936202371317657
4893,110,6,3.9586309836715983,4,n_squared,3.9550563665332814
4894,110,6,3.9586309836715983,4,n_log_n,3.798661686108694
4895,110,6,3.9586309836715983,5,identity,2.917475358742911
4896,110,6,3.9586309836715983,5,n,3.9208442520558693
4897,110,6,3.9586309836715983,5,square_root_n,3.6678467467124585
4898,110,6,3.9586309836715983,5,n_squared,3.95827222721538
4899,110,6,3.9586309836715983,5,n_log_n,3.9397097575247217
4900,110,6,3.9586309836715983,6,identity,3.657624873559163
4901,110,6,3.9586309836715983,6,n,3.954700905235199
4902,110,6,3.9586309836715983,6,square_root_n,3.919081814672854
4903,110,6,3.9586309836715983,6,n_squared,3.958595094974731
4904,110,6,3.9586309836715983,6,n_log_n,3.956701344461087
4905,111,4,1.957063530703796,4,identity,1.6584373006268949
4906,111,4,1.957063530703796,4,n,1.9531899711963985
4907,111,4,1.957063530703796,4,square_root_n,1.917909461402677
4908,111,4,1.957063530703796,4,n_squared,1.957028477343815
4909,111,4,1.957063530703796,4,n_log_n,1.9551653030620024
4910,111,4,1.957063530703796,5,identity,1.9159131886615712
4911,111,4,1.957063530703796,5,n,1.956674633679025
4912,111,4,1.957063530703796,5,square_root_n,1.9529838306547855
4913,111,4,1.957063530703796,5,n_squared,1.9570600255545072
4914,111,4,1.957063530703796,5,n_log_n,1.9568733470396138
4915,111,4,1.957063530703796,6,identity,1.9527664283115673
4916,111,4,1.957063530703796,6,n,1.9570246255003054
4917,111,4,1.957063530703796,6,square_root_n,1.9566538158831637
4918,111,4,1.957063530703796,6,n_squared,1.9570631801903606
4919,111,4,1.957063530703796,6,n_log_n,1.957044508717836
4920,111,5,2.9549158620806595,4,identity,1.9159131886620042
4921,111,5,2.9549158620806595,4,n,2.9174717893305595
4922,111,5,2.9549158620806595,4,square_root_n,2.665278467838375
4923,111,5,2.9549158620806595,4,n_squared,2.9545636840580687
4924,111,5,2.9549158620806595,4,n_log_n,2.93620474243431
4925,111,5,2.9549158620806595,5,identity,2.654126834171858
4926,111,5,2.9549158620806595,5,n,2.951022970078219
4927,111,5,2.9549158620806595,5,square_root_n,2.9155578427111215
4928,111,5,2.9549158620806595,5,n_squared,2.9548806345801264
4929,111,5,2.9549158620806595,5,n_log_n,2.9530081831241564
4930,111,5,2.9549158620806595,6,identity,2.913547453261228
