,overall availability class,nodes count,availability class HW,f1(n) / f2(n),minimum recover/failure time ratio,minimum availability class SW required cts
1446,4,98,5,n,-0.0008799959486789355,does not exist
1447,4,98,5,square_root_n,-8.889301467536634e-05,does not exist
1448,4,98,5,n_squared,-0.08623960297053568,does not exist
1449,4,98,5,n_log_n,-0.0017522708795132509,does not exist
1450,4,98,6,identity,2.045868741085144e-08,7.689122242636975
1451,4,98,6,n,2.004951366263441e-06,5.697897028247747
1452,4,98,6,square_root_n,2.0253067243344466e-07,6.693509283164815
1453,4,98,6,n_squared,0.00019648523389381722,3.7067554058955023
1454,4,98,6,n_log_n,3.9923114409990574e-06,5.398777320499909
1455,4,99,4,identity,-9.898994898649427e-05,does not exist
1456,4,99,4,n,-0.009800004949662933,does not exist
1457,4,99,4,square_root_n,-0.0009849375564138698,does not exist
1458,4,99,4,n_squared,-0.9702004900166303,does not exist
1459,4,99,4,n_log_n,-0.019557234784777538,does not exist
1460,4,99,5,identity,-8.989858072738777e-06,does not exist
1461,4,99,5,n,-0.0008899959492011389,does not exist
1462,4,99,5,square_root_n,-8.944795843746614e-05,does not exist
1463,4,99,5,n_squared,-0.08810959897091275,does not exist
1464,4,99,5,n_log_n,-0.0017761072392750458,does not exist
1465,4,99,6,identity,1.0151018470239137e-08,7.9934903867553615
1466,4,99,6,n,1.0049508285536746e-06,5.997855623871619
1467,4,99,6,square_root_n,1.01001358517252e-07,6.995672828227066
1468,4,99,6,n_squared,9.949013202681378e-05,4.002263198676274
1469,4,99,6,n_log_n,2.005515242301681e-06,5.697774903934523
1470,4,100,4,identity,-9.900004950158525e-05,does not exist
1471,4,100,4,n,-0.009900004950158525,does not exist
1472,4,100,4,square_root_n,-0.0009900004950158525,does not exist
1473,4,100,4,n_squared,-0.9900004950158525,does not exist
1474,4,100,4,n_log_n,-0.01980000990031705,does not exist
1475,4,100,5,identity,-8.999959496991394e-06,does not exist
1476,4,100,5,n,-0.0008999959496991394,does not exist
1477,4,100,5,square_root_n,-8.999959496991394e-05,does not exist
1478,4,100,5,n_squared,-0.08999959496991394,does not exist
1479,4,100,5,n_log_n,-0.0017999918993982789,does not exist
1480,4,100,6,identity,4.9503290355801255e-11,10.305365933674986
1481,4,100,6,n,4.9503290355801255e-09,8.305365933674986
1482,4,100,6,square_root_n,4.950329035580125e-10,9.305365933674986
1483,4,100,6,n_squared,4.950329035580125e-07,6.305366148637591
1484,4,100,6,n_log_n,9.900658071160251e-09,8.004335942881022
1485,4,101,4,identity,-9.900995000655666e-05,does not exist
1486,4,101,4,n,-0.010000004950662222,does not exist
1487,4,101,4,square_root_n,-0.0009950376828192918,does not exist
1488,4,101,4,n_squared,-1.0100005000168846,does not exist
1489,4,101,4,n_log_n,-0.020043223660544535,does not exist
1490,4,101,5,identity,-9.009860893138821e-06,does not exist
1491,4,101,5,n,-0.000909995950207021,does not exist
1492,4,101,5,square_root_n,-9.054798133964633e-05,does not exist
1493,4,101,5,n_squared,-0.09190959097090912,does not exist
1494,4,101,5,n_log_n,-0.0018239243330555777,does not exist
1495,4,101,6,identity,-9.851981896957795e-09,does not exist
1496,4,101,6,n,-9.950501715927373e-07,does not exist
1497,4,101,6,square_root_n,-9.90111926859605e-08,does not exist
1498,4,101,6,n_squared,-0.00010050006733086647,does not exist
1499,4,101,6,n_log_n,-1.9944003269094098e-06,does not exist
1500,4,102,4,identity,-9.901965638381416e-05,does not exist
1501,4,102,4,n,-0.010100004951149044,does not exist
1502,4,102,4,square_root_n,-0.0010000495086432471,does not exist
1503,4,102,4,n_squared,-1.0302005050172025,does not exist
1504,4,102,4,n_log_n,-0.02028687167967419,does not exist
1505,4,102,5,identity,-9.01956814403082e-06,does not exist
1506,4,102,5,n,-0.0009199959506911437,does not exist
1507,4,102,5,square_root_n,-9.109317301253255e-05,does not exist
1508,4,102,5,n_squared,-0.09383958697049666,does not exist
1509,4,102,5,n_log_n,-0.0018479040245784999,does not exist
1510,4,102,6,identity,-1.9559320163509142e-08,does not exist
1511,4,102,6,n,-1.9950506566779325e-06,does not exist
1512,4,102,6,square_root_n,-1.9753945058236554e-07,does not exist
1513,4,102,6,n_squared,-0.0002034951669811491,does not exist
1514,4,102,6,n_log_n,-4.007259091677022e-06,does not exist
1515,4,103,4,identity,-9.90291742876126e-05,does not exist
1516,4,103,4,n,-0.010200004951624098,does not exist
1517,4,103,4,square_root_n,-0.0010050363516255988,does not exist
1518,4,103,4,n_squared,-1.050600510017282,does not exist
1519,4,103,4,n_log_n,-0.02053094965880606,does not exist
1520,4,103,5,identity,-9.029086904477346e-06,does not exist
1521,4,103,5,n,-0.0009299959511611666,does not exist
1522,4,103,5,square_root_n,-9.163522392533475e-05,does not exist
1523,4,103,5,n_squared,-0.09578958296960016,does not exist
1524,4,103,5,n_log_n,-0.0018719304693222893,does not exist
1525,4,103,6,identity,-2.907816620822956e-08,does not exist
1526,4,103,6,n,-2.995051119447645e-06,does not exist
1527,4,103,6,square_root_n,-2.951111557590506e-07,does not exist
1528,4,103,6,n_squared,-0.0003084902653031074,does not exist
1529,4,103,6,n_log_n,-6.028550383119116e-06,does not exist
1530,4,104,4,identity,-9.903850915471413e-05,does not exist
1531,4,104,4,n,-0.01030000495209027,does not exist
1532,4,104,4,square_root_n,-0.00100999858155405,does not exist
1533,4,104,4,n_squared,-1.071200515017388,does not exist
1534,4,104,4,n_log_n,-0.020775453383308606,does not exist
1535,4,104,5,identity,-9.038422611906682e-06,does not exist
1536,4,104,5,n,-0.000939995951638295,does not exist
1537,4,104,5,square_root_n,-9.217418654042088e-05,does not exist
1538,4,104,5,n_squared,-0.09775957897038268,does not exist
1539,4,104,5,n_log_n,-0.0018960031732603248,does not exist
1540,4,104,6,identity,-3.841395768144906e-08,does not exist
1541,4,104,6,n,-3.9950515988707025e-06,does not exist
1542,4,104,6,square_root_n,-3.917470396240724e-07,does not exist
1543,4,104,6,n_squared,-0.00041548536628255306,does not exist
1544,4,104,6,n_log_n,-8.058152267141104e-06,does not exist
1545,4,105,4,identity,-9.904766621471328e-05,does not exist
1546,4,105,4,n,-0.010400004952544895,does not exist
1547,4,105,4,square_root_n,-0.0010149365591853668,does not exist
1548,4,105,4,n_squared,-1.0920005200172138,does not exist
1549,4,105,4,n_log_n,-0.021020378720358102,does not exist
1550,4,105,5,identity,-9.04758049613541e-06,does not exist
1551,4,105,5,n,-0.0009499959520942181,does not exist
1552,4,105,5,square_root_n,-9.271011189495586e-05,does not exist
1553,4,105,5,n_squared,-0.0997495749698929,does not exist
1554,4,105,5,n_log_n,-0.0019201216525325912,does not exist
1555,4,105,6,identity,-4.757192428872514e-08,does not exist
1556,4,105,6,n,-4.99505205031614e-06,does not exist
1557,4,105,6,square_root_n,-4.874671660285242e-07,does not exist
1558,4,105,6,n_squared,-0.0005244804652831947,does not exist
1559,4,105,6,n_log_n,-1.0095945752396337e-05,does not exist
1560,4,106,4,identity,-9.905665049991796e-05,does not exist
1561,4,106,4,n,-0.010500004952991304,does not exist
1562,4,106,4,square_root_n,-0.0010198506365521704,does not exist
1563,4,106,4,n_squared,-1.1130005250170782,does not exist
1564,4,106,4,n_log_n,-0.021265721616602427,does not exist
1565,4,106,5,identity,-9.056565590026544e-06,does not exist
1566,4,106,5,n,-0.0009599959525428137,does not exist
1567,4,106,5,square_root_n,-9.324304966250301e-05,does not exist
1568,4,106,5,n_squared,-0.10175957096953825,does not exist
1569,4,106,5,n_log_n,-0.0019442854333154007,does not exist
1570,4,106,6,identity,-5.655709911511764e-08,does not exist
1571,4,106,6,n,-5.9950525062024695e-06,does not exist
1572,4,106,6,square_root_n,-5.822909743363944e-07,does not exist
1573,4,106,6,n_squared,-0.0006354755656574618,does not exist
1574,4,106,6,n_log_n,-1.2141815003382122e-05,does not exist
1575,4,107,4,identity,-9.90654668545643e-05,does not exist
1576,4,107,4,n,-0.01060000495343838,does not exist
1577,4,107,4,square_root_n,-0.0010247411572553663,does not exist
1578,4,107,4,n_squared,-1.1342005300179068,does not exist
1579,4,107,4,n_log_n,-0.021511478095890716,does not exist
1580,4,107,5,identity,-9.065382738149275e-06,does not exist
1581,4,107,5,n,-0.0009699959529819724,does not exist
1582,4,107,5,square_root_n,-9.377304819742947e-05,does not exist
1583,4,107,5,n_squared,-0.10378956696907105,does not exist
1584,4,107,5,n_log_n,-0.00196849405140192,does not exist
1585,4,107,6,identity,-6.53743265077722e-08,does not exist
1586,4,107,6,n,-6.995052936331625e-06,does not exist
1587,4,107,6,square_root_n,-6.762372916357796e-07,does not exist
1588,4,107,6,n_squared,-0.0007484706641874839,does not exist
1589,4,107,6,n_log_n,-1.4195646953040692e-05,does not exist
1590,4,108,4,identity,-9.907411994325432e-05,does not exist
1591,4,108,4,n,-0.010700004953871467,does not exist
1592,4,108,4,square_root_n,-0.0010296084567413368,does not exist
1593,4,108,4,n_squared,-1.1556005350181184,does not exist
1594,4,108,4,n_log_n,-0.021757644257030286,does not exist
1595,4,108,5,identity,-9.074036605660751e-06,does not exist
1596,4,108,5,n,-0.0009799959534113611,does not exist
1597,4,108,5,square_root_n,-9.430015458446555e-05,does not exist
1598,4,108,5,n_squared,-0.105839562968427,does not exist
1599,4,108,5,n_log_n,-0.001992747051947744,does not exist
1600,4,108,6,identity,-7.40282719569052e-08,does not exist
1601,4,108,6,n,-7.995053371345762e-06,does not exist
1602,4,108,6,square_root_n,-7.693243693553167e-07,does not exist
1603,4,108,6,n_squared,-0.0008634657641053423,does not exist
1604,4,108,6,n_log_n,-1.6257331451680498e-05,does not exist
1605,4,109,4,identity,-9.908261425950471e-05,does not exist
1606,4,109,4,n,-0.010800004954286013,does not exist
1607,4,109,4,square_root_n,-0.0010344528625733803,does not exist
1608,4,109,4,n_squared,-1.1772005400171754,does not exist
1609,4,109,4,n_log_n,-0.02200421627175234,does not exist
1610,4,109,5,identity,-9.082531686521733e-06,does not exist
1611,4,109,5,n,-0.000989995953830869,does not exist
1612,4,109,5,square_root_n,-9.482441468417917e-05,does not exist
1613,4,109,5,n_squared,-0.10790955896756471,does not exist
1614,4,109,5,n_log_n,-0.002017043989189015,does not exist
1615,4,109,6,identity,-8.252342931225343e-08,does not exist
1616,4,109,6,n,-8.995053795035624e-06,does not exist
1617,4,109,6,square_root_n,-8.615698961863392e-07,does not exist
1618,4,109,6,n_squared,-0.000980460863658883,does not exist
1619,4,109,6,n_log_n,-1.832676095240695e-05,does not exist
1620,4,110,4,identity,-9.909095413374036e-05,does not exist
1621,4,110,4,n,-0.01090000495471144,does not exist
1622,4,110,4,square_root_n,-0.0010392746946908955,does not exist
1623,4,110,4,n_squared,-1.1990005450182584,does not exist
1624,4,110,4,n_log_n,-0.022251190382736343,does not exist
1625,4,110,5,identity,-9.090872311379172e-06,does not exist
1626,4,110,5,n,-0.000999995954251709,does not exist
1627,4,110,5,square_root_n,-9.534587317759513e-05,does not exist
1628,4,110,5,n_squared,-0.10999955496768798,does not exist
1629,4,110,5,n_log_n,-0.002041384426197258,does not exist
1630,4,110,6,identity,-9.086412922076903e-08,does not exist
1631,4,110,6,n,-9.995054214284593e-06,does not exist
1632,4,110,6,square_root_n,-9.529910270801857e-07,does not exist
1633,4,110,6,n_squared,-0.0010994559635713053,does not exist
1634,4,110,6,n_log_n,-2.0403830560800458e-05,does not exist
1635,4,111,4,identity,-9.909914373984474e-05,does not exist
1636,4,111,4,n,-0.011000004955122766,does not exist
1637,4,111,4,square_root_n,-0.0010440742656471881,does not exist
1638,4,111,4,n_squared,-1.2210005500186272,does not exist
1639,4,111,4,n_log_n,-0.02249856290147969,does not exist
1640,4,111,5,identity,-9.099062654671641e-06,does not exist
1641,4,111,5,n,-0.0010099959546685522,does not exist
1642,4,111,5,square_root_n,-9.586457360513347e-05,does not exist
1643,4,111,5,n_squared,-0.11210955096820929,does not exist
1644,4,111,5,n_log_n,-0.002065767934565157,does not exist
1645,4,111,6,identity,-9.90545462320469e-08,does not exist
1646,4,111,6,n,-1.0995054631757206e-05,does not exist
1647,4,111,6,square_root_n,-1.04360440174679e-06,does not exist
1648,4,111,6,n_squared,-0.0012204510641250499,does not exist
